source,target,relation,relation_group,weight,page,logic,trend,description
145,309,DEFINED_AS,REFERENCE,0.4,Page 551,N_c = N / sqrt(theta). It relates the blade tip Mach number to the aerodynamic performance of turbomachinery.,,
146,310,REQUIRES,REFERENCE,0.4,Page 558,"Steady-state off-design operation requires that the mass flow entering a component matches downstream constraints, and the turbine power balances the compressor power.",,
147,311,FIXES,REFERENCE,0.4,Page 563,"If the high-pressure turbine nozzle guides are choked, the corrected mass flow exiting the compressor remains essentially constant, creating a fixed pumping constraint.",,
148,312,DETERMINED_BY,REFERENCE,0.4,Page 565,The steady-state compressor operating line on a compressor map is determined by the fixed throat area of the downstream turbine and exhaust nozzle.,,
149,313,DETERMINES,REFERENCE,0.4,Page 572,"When the convergent exhaust nozzle is choked, the operating pressure ratio across the turbine becomes independent of ambient pressure.",,
150,314,REGULATES,REFERENCE,0.4,Page 598,The fuel control unit (FCU) adjusts the fuel flow to match pilot thrust demands while keeping the engine within safety limits.,,
151,315,INCLUDES,REFERENCE,0.4,Page 599,Mechanical stress restricts the maximum physical or corrected rotational speed of the fan spool.,,
151,316,INCLUDES,REFERENCE,0.4,Page 599,Structural casing design restricts the maximum compressor exit pressure (P_t3) to prevent burst failure.,,
151,317,INCLUDES,REFERENCE,0.4,Page 599,Material thermal properties restrict the maximum allowable gas temperature entering the turbine blades (T_t4).,,
152,318,DEFINES,REFERENCE,0.4,Page 612,Theta_break represents the ambient temperature point where the engine control transitions from limiting maximum compressor pressure ratio to limiting maximum turbine inlet temperature.,,
153,319,LIMITED_BY,REFERENCE,0.4,Page 612,"At low ambient temperatures (below theta_break), the engine is typically limited by mechanical limits like pressure or spool speed.",,
154,317,LIMITED_BY,REFERENCE,0.4,Page 612,"At high ambient temperatures (above theta_break), the engine control reduces fuel flow to protect the turbine from overheating, dropping the thrust.",,
155,320,PLOTS,REFERENCE,0.4,Page 620,A throttle hook is a curve showing the relationship between thrust and thrust specific fuel consumption at a constant flight condition as the throttle is varied.,,
156,321,REQUIRES,REFERENCE,0.4,Page 635,"During acceleration, the turbine power must exceed the compressor power to accelerate the spool rotor inertia, causing the operating line to transiently swing toward the stall line.",,
322,289,MODIFIED_BY,CROSS_DOMAIN,0.9,,第4章理想循环被第5章引入的摩擦与非等熵损失修正,热力学耦合,The realistic engine cycle analysis (Chapter 7) modifies the ideal Brayton cycle (Chapter 4) by incorporating polytropic efficiencies and pressure drops (Chapter 5).
77,128,EVOLVES_INTO,CROSS_DOMAIN,0.9,,第4章的理想参数体系在第7章全面重构为真实热力学方程,热力学耦合,Equations for ideal parametric analysis in Chapter 4 are expanded in Chapter 7 to account for real component behavior from Chapter 5.
323,148,DETERMINES_OFF_DESIGN,CROSS_DOMAIN,0.9,,第4/7章设计的部件几何面积在第8章非设计点分析中成为刚性约束,刚性锁定,The physical throat area of the components designed in Chapters 4 and 7 acts as a geometric constraint that fixes the operating line in Chapter 8.
324,331,CONSTRAIN,CROSS_DOMAIN,0.9,,第4和第7章选定的设计点参数在第8章转化为定型发动机的运行边界,热力学耦合,Reference design choices (Chapters 4 & 7) define the fixed constants (like turbine area) needed for off-design performance evaluation (Chapter 8).
325,194,APPLIED_TO,CROSS_DOMAIN,0.9,,第2章的一维等熵流动公式直接应用于第3章火箭喷管和第4/5章喷管设计,热力学耦合,Isentropic area-Mach relations from Chapter 2 are directly utilized to design rocket nozzles in Chapter 3 and exhaust nozzles in Chapters 4 and 5.
326,332,CAUSES_LOSS_IN,CROSS_DOMAIN,0.9,,第2章的正激波总压损失直接导致了第5/7章中超声速进气道总压恢复系数pi_d的下降,热力学耦合,The total pressure drop across a normal shock (Chapter 2) explains the reduction of inlet recovery pi_d in supersonic flight (Chapters 5 and 7).
47,333,LIMITS,CROSS_DOMAIN,0.9,,第2章Rayleigh流中的热壅塞现象在第5/7/8章中限制了燃烧室和加力燃烧室的最大加热量,热力学耦合,"The foundational physics of Rayleigh flow and thermal choking (Chapter 2) constraint the maximum fuel injection in burners (Chapters 5, 7, and 8)."
327,334,IMPOSES,CROSS_DOMAIN,0.9,,第2章截面马赫数等于1的壅塞状态在第8章演变为涡轮导向器和喷管对整机流量的控制规律,热力学耦合,The throat choking criterion (Chapter 2) becomes the fundamental law regulating component mass flow matching in off-design operation (Chapter 8).
50,335,EXPANDED_BY,CROSS_DOMAIN,0.9,,第3章的理想推力方程在第6章中被非等熵喷管效率和冻结/平衡流化学反应修正,热力学耦合,The ideal rocket thrust relations (Chapter 3) are modified in Chapter 6 by implementing nozzle velocity coefficients and shifting/frozen chemical behaviors.
328,126,COUPLED_WITH,CROSS_DOMAIN,0.9,,第3章计算推力所需的燃料/氧化剂流量在第6章中必须满足涡轮泵动力循环的功率平衡,热力学耦合,The design propellant mass flow derived from Chapter 3 specific impulse requirements must satisfy the pump-turbine shaft power matching in Chapter 6.
100,336,CAUSES_SHIFT_IN,CROSS_DOMAIN,0.9,,第5章引入的燃烧室粘性与加热损失会导致第7章计算的真实最佳涵道比向低值偏移,热力学耦合,The combustor and duct pressure losses detailed in Chapter 5 directly reduce the theoretical optimum bypass ratio when evaluated in Chapter 7 real cycles.
95,337,USED_TO_PREDICT,CROSS_DOMAIN,0.9,,第5章定义的多方效率被直接作为输入量用于第7章和第8章的整机热力计算,热力学耦合,The stage-independent polytropic efficiencies defined in Chapter 5 are used as fundamental inputs for real cycle (Chapter 7) and off-design (Chapter 8) math models.
329,338,TRIGGERS,CROSS_DOMAIN,0.9,,第5章提到的涡轮耐温极限在第8章中触发了整机控制规律从限制压比向限制涡前温度的转折,热力学耦合,The metallurgical temperature limit of turbine blades (Chapter 5) establishes the boundary for the hot-day Theta_break control logic (Chapter 8).
330,16,INCREASES,CROSS_DOMAIN,0.9,,第5章详述的加力燃烧室总压损失放大了第7章中真实加力发动机的耗油率 penalty,正相关,The fundamental thermal pressure drop in afterburners (Chapter 5 Rayleigh effect) severely penalizes the real augmented TSFC calculated in Chapter 7.
5,18,AFFECTS,PROPAGATION,0.95,,Turbine affects Thermal efficiency,,
5,19,AFFECTS,PROPAGATION,0.95,,Turbine affects Propulsive efficiency,,
5,20,AFFECTS,PROPAGATION,0.95,,Turbine affects Overall efficiency,,
5,95,AFFECTS,PROPAGATION,0.95,,Turbine affects Polytropic efficiency,,
5,115,AFFECTS,PROPAGATION,0.95,,Turbine affects Combustion efficiency,,
5,130,AFFECTS,PROPAGATION,0.95,,Turbine affects Real turbojet efficiency,,
5,136,AFFECTS,PROPAGATION,0.95,,Turbine affects Mixer efficiency,,
5,139,AFFECTS,PROPAGATION,0.95,,Turbine affects Propeller efficiency eta_prop,,
5,173,AFFECTS,PROPAGATION,0.95,,Turbine affects Thermal efficiency and Propulsive efficiency,,
5,249,AFFECTS,PROPAGATION,0.95,,Turbine affects Isentropic efficiency eta_c,,
5,250,AFFECTS,PROPAGATION,0.95,,Turbine affects Isentropic efficiency and Total pressure ratio,,
5,251,AFFECTS,PROPAGATION,0.95,,Turbine affects Isentropic efficiency of an infinitesimal stage,,
5,253,AFFECTS,PROPAGATION,0.95,,Turbine affects Isentropic efficiency eta_t,,
5,254,AFFECTS,PROPAGATION,0.95,,Turbine affects Combustion efficiency eta_b,,
5,259,AFFECTS,PROPAGATION,0.95,,Turbine affects Mechanical efficiency eta_m,,
36,75,USED_IN,PROPAGATION,0.85,,Stagnation temperature used in Parametric cycle analysis,,
36,77,USED_IN,PROPAGATION,0.85,,Stagnation temperature used in Ideal cycle analysis,,
36,122,USED_IN,PROPAGATION,0.85,,Stagnation temperature used in Liquid rocket cycle,,
36,123,USED_IN,PROPAGATION,0.85,,Stagnation temperature used in Pump-fed cycle,,
36,124,USED_IN,PROPAGATION,0.85,,Stagnation temperature used in Gas-generator cycle,,
36,125,USED_IN,PROPAGATION,0.85,,Stagnation temperature used in Staged combustion cycle,,
36,128,USED_IN,PROPAGATION,0.85,,Stagnation temperature used in Real cycle analysis,,
36,280,USED_IN,PROPAGATION,0.85,,Stagnation temperature used in Pressure-fed cycle,,
36,281,USED_IN,PROPAGATION,0.85,,Stagnation temperature used in Expander cycle,,
36,322,USED_IN,PROPAGATION,0.85,,Stagnation temperature used in Ideal Brayton cycle,,
37,322,USED_IN,PROPAGATION,0.85,,Stagnation pressure used in Ideal Brayton cycle,,
52,322,USED_IN,PROPAGATION,0.85,,Pressure thrust used in Ideal Brayton cycle,,
78,75,USED_IN,PROPAGATION,0.85,,Total temperature ratio tau used in Parametric cycle analysis,,
78,77,USED_IN,PROPAGATION,0.85,,Total temperature ratio tau used in Ideal cycle analysis,,
78,122,USED_IN,PROPAGATION,0.85,,Total temperature ratio tau used in Liquid rocket cycle,,
78,123,USED_IN,PROPAGATION,0.85,,Total temperature ratio tau used in Pump-fed cycle,,
78,124,USED_IN,PROPAGATION,0.85,,Total temperature ratio tau used in Gas-generator cycle,,
78,125,USED_IN,PROPAGATION,0.85,,Total temperature ratio tau used in Staged combustion cycle,,
78,128,USED_IN,PROPAGATION,0.85,,Total temperature ratio tau used in Real cycle analysis,,
78,280,USED_IN,PROPAGATION,0.85,,Total temperature ratio tau used in Pressure-fed cycle,,
78,281,USED_IN,PROPAGATION,0.85,,Total temperature ratio tau used in Expander cycle,,
78,322,USED_IN,PROPAGATION,0.85,,Total temperature ratio tau used in Ideal Brayton cycle,,
79,322,USED_IN,PROPAGATION,0.85,,Total pressure ratio pi used in Ideal Brayton cycle,,
85,18,AFFECTS,PROPAGATION,0.95,,Fan turbine affects Thermal efficiency,,
85,19,AFFECTS,PROPAGATION,0.95,,Fan turbine affects Propulsive efficiency,,
85,20,AFFECTS,PROPAGATION,0.95,,Fan turbine affects Overall efficiency,,
85,95,AFFECTS,PROPAGATION,0.95,,Fan turbine affects Polytropic efficiency,,
85,115,AFFECTS,PROPAGATION,0.95,,Fan turbine affects Combustion efficiency,,
85,130,AFFECTS,PROPAGATION,0.95,,Fan turbine affects Real turbojet efficiency,,
85,136,AFFECTS,PROPAGATION,0.95,,Fan turbine affects Mixer efficiency,,
85,139,AFFECTS,PROPAGATION,0.95,,Fan turbine affects Propeller efficiency eta_prop,,
85,173,AFFECTS,PROPAGATION,0.95,,Fan turbine affects Thermal efficiency and Propulsive efficiency,,
85,249,AFFECTS,PROPAGATION,0.95,,Fan turbine affects Isentropic efficiency eta_c,,
85,250,AFFECTS,PROPAGATION,0.95,,Fan turbine affects Isentropic efficiency and Total pressure ratio,,
85,251,AFFECTS,PROPAGATION,0.95,,Fan turbine affects Isentropic efficiency of an infinitesimal stage,,
85,253,AFFECTS,PROPAGATION,0.95,,Fan turbine affects Isentropic efficiency eta_t,,
85,254,AFFECTS,PROPAGATION,0.95,,Fan turbine affects Combustion efficiency eta_b,,
85,259,AFFECTS,PROPAGATION,0.95,,Fan turbine affects Mechanical efficiency eta_m,,
93,37,AFFECTS,PROPAGATION,0.95,,Compressor affects Stagnation pressure,,
93,52,AFFECTS,PROPAGATION,0.95,,Compressor affects Pressure thrust,,
93,79,AFFECTS,PROPAGATION,0.95,,Compressor affects Total pressure ratio pi,,
93,110,AFFECTS,PROPAGATION,0.95,,Compressor affects Combustion chamber pressure,,
93,135,AFFECTS,PROPAGATION,0.95,,Compressor affects Constant-pressure mixer,,
93,137,AFFECTS,PROPAGATION,0.95,,Compressor affects Optimum fan pressure ratio,,
93,191,AFFECTS,PROPAGATION,0.95,,Compressor affects Pressure at zero velocity isentropically,,
93,198,AFFECTS,PROPAGATION,0.95,,Compressor affects Static pressure,,
93,200,AFFECTS,PROPAGATION,0.95,,Compressor affects Total pressure,,
93,205,AFFECTS,PROPAGATION,0.95,,Compressor affects Momentum thrust and Pressure thrust,,
93,211,AFFECTS,PROPAGATION,0.95,,Compressor affects Chamber pressure and Throat area,,
93,213,AFFECTS,PROPAGATION,0.95,,Compressor affects Thrust and Chamber pressure,,
93,214,AFFECTS,PROPAGATION,0.95,,Compressor affects Exit pressure equals Ambient pressure,,
93,215,AFFECTS,PROPAGATION,0.95,,Compressor affects Exit pressure less than Ambient pressure,,
93,216,AFFECTS,PROPAGATION,0.95,,Compressor affects Exit pressure greater than Ambient pressure,,
93,219,AFFECTS,PROPAGATION,0.95,,Compressor affects High pressure gas tank,,
93,232,AFFECTS,PROPAGATION,0.95,,Compressor affects Constant pressure combustion,,
93,245,AFFECTS,PROPAGATION,0.95,,Compressor affects Component efficiencies and Total pressure ratios,,
93,246,AFFECTS,PROPAGATION,0.95,,Compressor affects Total pressure ratio pi_d,,
93,250,AFFECTS,PROPAGATION,0.95,,Compressor affects Isentropic efficiency and Total pressure ratio,,
93,252,AFFECTS,PROPAGATION,0.95,,Compressor affects Increasing pressure ratio,,
93,255,AFFECTS,PROPAGATION,0.95,,Compressor affects Total pressure ratio pi_b,,
93,258,AFFECTS,PROPAGATION,0.95,,Compressor affects Total pressure ratio pi_AB,,
93,260,AFFECTS,PROPAGATION,0.95,,Compressor affects Total pressure ratio pi_n,,
93,266,AFFECTS,PROPAGATION,0.95,,Compressor affects Stagnation pressure at throat,,
93,283,AFFECTS,PROPAGATION,0.95,,Compressor affects Higher chamber pressure,,
93,285,AFFECTS,PROPAGATION,0.95,,Compressor affects Volumetric flow rate and Pressure rise,,
93,288,AFFECTS,PROPAGATION,0.95,,Compressor affects Real exit velocity and pressure,,
93,308,AFFECTS,PROPAGATION,0.95,,Compressor affects Mass flow scaled by dimensionless temperature and pressure,,
93,319,AFFECTS,PROPAGATION,0.95,,Compressor affects Maximum pressure or shaft speed,,
94,37,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Stagnation pressure,,
94,52,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Pressure thrust,,
94,79,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Total pressure ratio pi,,
94,110,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Combustion chamber pressure,,
94,135,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Constant-pressure mixer,,
94,137,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Optimum fan pressure ratio,,
94,191,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Pressure at zero velocity isentropically,,
94,198,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Static pressure,,
94,200,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Total pressure,,
94,205,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Momentum thrust and Pressure thrust,,
94,211,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Chamber pressure and Throat area,,
94,213,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Thrust and Chamber pressure,,
94,214,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Exit pressure equals Ambient pressure,,
94,215,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Exit pressure less than Ambient pressure,,
94,216,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Exit pressure greater than Ambient pressure,,
94,219,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects High pressure gas tank,,
94,232,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Constant pressure combustion,,
94,245,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Component efficiencies and Total pressure ratios,,
94,246,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Total pressure ratio pi_d,,
94,250,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Isentropic efficiency and Total pressure ratio,,
94,252,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Increasing pressure ratio,,
94,255,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Total pressure ratio pi_b,,
94,258,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Total pressure ratio pi_AB,,
94,260,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Total pressure ratio pi_n,,
94,266,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Stagnation pressure at throat,,
94,283,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Higher chamber pressure,,
94,285,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Volumetric flow rate and Pressure rise,,
94,288,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Real exit velocity and pressure,,
94,308,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Mass flow scaled by dimensionless temperature and pressure,,
94,319,AFFECTS,PROPAGATION,0.95,,Compressor total temperature ratio tau_c affects Maximum pressure or shaft speed,,
96,37,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Stagnation pressure,,
96,52,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Pressure thrust,,
96,79,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Total pressure ratio pi,,
96,110,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Combustion chamber pressure,,
96,135,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Constant-pressure mixer,,
96,137,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Optimum fan pressure ratio,,
96,191,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Pressure at zero velocity isentropically,,
96,198,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Static pressure,,
96,200,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Total pressure,,
96,205,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Momentum thrust and Pressure thrust,,
96,211,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Chamber pressure and Throat area,,
96,213,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Thrust and Chamber pressure,,
96,214,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Exit pressure equals Ambient pressure,,
96,215,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Exit pressure less than Ambient pressure,,
96,216,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Exit pressure greater than Ambient pressure,,
96,219,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects High pressure gas tank,,
96,232,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Constant pressure combustion,,
96,245,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Component efficiencies and Total pressure ratios,,
96,246,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Total pressure ratio pi_d,,
96,250,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Isentropic efficiency and Total pressure ratio,,
96,252,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Increasing pressure ratio,,
96,255,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Total pressure ratio pi_b,,
96,258,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Total pressure ratio pi_AB,,
96,260,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Total pressure ratio pi_n,,
96,266,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Stagnation pressure at throat,,
96,283,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Higher chamber pressure,,
96,285,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Volumetric flow rate and Pressure rise,,
96,288,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Real exit velocity and pressure,,
96,308,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Mass flow scaled by dimensionless temperature and pressure,,
96,319,AFFECTS,PROPAGATION,0.95,,Compressor isentropic efficiency affects Maximum pressure or shaft speed,,
97,18,AFFECTS,PROPAGATION,0.95,,Turbine total temperature ratio tau_t affects Thermal efficiency,,
97,19,AFFECTS,PROPAGATION,0.95,,Turbine total temperature ratio tau_t affects Propulsive efficiency,,
97,20,AFFECTS,PROPAGATION,0.95,,Turbine total temperature ratio tau_t affects Overall efficiency,,
97,95,AFFECTS,PROPAGATION,0.95,,Turbine total temperature ratio tau_t affects Polytropic efficiency,,
97,115,AFFECTS,PROPAGATION,0.95,,Turbine total temperature ratio tau_t affects Combustion efficiency,,
97,130,AFFECTS,PROPAGATION,0.95,,Turbine total temperature ratio tau_t affects Real turbojet efficiency,,
97,136,AFFECTS,PROPAGATION,0.95,,Turbine total temperature ratio tau_t affects Mixer efficiency,,
97,139,AFFECTS,PROPAGATION,0.95,,Turbine total temperature ratio tau_t affects Propeller efficiency eta_prop,,
97,173,AFFECTS,PROPAGATION,0.95,,Turbine total temperature ratio tau_t affects Thermal efficiency and Propulsive efficiency,,
97,249,AFFECTS,PROPAGATION,0.95,,Turbine total temperature ratio tau_t affects Isentropic efficiency eta_c,,
97,250,AFFECTS,PROPAGATION,0.95,,Turbine total temperature ratio tau_t affects Isentropic efficiency and Total pressure ratio,,
97,251,AFFECTS,PROPAGATION,0.95,,Turbine total temperature ratio tau_t affects Isentropic efficiency of an infinitesimal stage,,
97,253,AFFECTS,PROPAGATION,0.95,,Turbine total temperature ratio tau_t affects Isentropic efficiency eta_t,,
97,254,AFFECTS,PROPAGATION,0.95,,Turbine total temperature ratio tau_t affects Combustion efficiency eta_b,,
97,259,AFFECTS,PROPAGATION,0.95,,Turbine total temperature ratio tau_t affects Mechanical efficiency eta_m,,
98,18,AFFECTS,PROPAGATION,0.95,,Turbine isentropic efficiency affects Thermal efficiency,,
98,19,AFFECTS,PROPAGATION,0.95,,Turbine isentropic efficiency affects Propulsive efficiency,,
98,20,AFFECTS,PROPAGATION,0.95,,Turbine isentropic efficiency affects Overall efficiency,,
98,95,AFFECTS,PROPAGATION,0.95,,Turbine isentropic efficiency affects Polytropic efficiency,,
98,115,AFFECTS,PROPAGATION,0.95,,Turbine isentropic efficiency affects Combustion efficiency,,
98,130,AFFECTS,PROPAGATION,0.95,,Turbine isentropic efficiency affects Real turbojet efficiency,,
98,136,AFFECTS,PROPAGATION,0.95,,Turbine isentropic efficiency affects Mixer efficiency,,
98,139,AFFECTS,PROPAGATION,0.95,,Turbine isentropic efficiency affects Propeller efficiency eta_prop,,
98,173,AFFECTS,PROPAGATION,0.95,,Turbine isentropic efficiency affects Thermal efficiency and Propulsive efficiency,,
98,249,AFFECTS,PROPAGATION,0.95,,Turbine isentropic efficiency affects Isentropic efficiency eta_c,,
98,250,AFFECTS,PROPAGATION,0.95,,Turbine isentropic efficiency affects Isentropic efficiency and Total pressure ratio,,
98,251,AFFECTS,PROPAGATION,0.95,,Turbine isentropic efficiency affects Isentropic efficiency of an infinitesimal stage,,
98,253,AFFECTS,PROPAGATION,0.95,,Turbine isentropic efficiency affects Isentropic efficiency eta_t,,
98,254,AFFECTS,PROPAGATION,0.95,,Turbine isentropic efficiency affects Combustion efficiency eta_b,,
98,259,AFFECTS,PROPAGATION,0.95,,Turbine isentropic efficiency affects Mechanical efficiency eta_m,,
99,36,AFFECTS,PROPAGATION,0.95,,Combustor affects Stagnation temperature,,
99,78,AFFECTS,PROPAGATION,0.95,,Combustor affects Total temperature ratio tau,,
99,199,AFFECTS,PROPAGATION,0.95,,Combustor affects Static temperature,,
99,270,AFFECTS,PROPAGATION,0.95,,Combustor affects Chamber stagnation temperature,,
99,308,AFFECTS,PROPAGATION,0.95,,Combustor affects Mass flow scaled by dimensionless temperature and pressure,,
99,337,AFFECTS,PROPAGATION,0.95,,Combustor affects Component temperature ratios,,
110,322,USED_IN,PROPAGATION,0.85,,Combustion chamber pressure used in Ideal Brayton cycle,,
131,18,AFFECTS,PROPAGATION,0.95,,Turbine temperature ratio tau_t affects Thermal efficiency,,
131,19,AFFECTS,PROPAGATION,0.95,,Turbine temperature ratio tau_t affects Propulsive efficiency,,
131,20,AFFECTS,PROPAGATION,0.95,,Turbine temperature ratio tau_t affects Overall efficiency,,
131,95,AFFECTS,PROPAGATION,0.95,,Turbine temperature ratio tau_t affects Polytropic efficiency,,
131,115,AFFECTS,PROPAGATION,0.95,,Turbine temperature ratio tau_t affects Combustion efficiency,,
131,130,AFFECTS,PROPAGATION,0.95,,Turbine temperature ratio tau_t affects Real turbojet efficiency,,
131,136,AFFECTS,PROPAGATION,0.95,,Turbine temperature ratio tau_t affects Mixer efficiency,,
131,139,AFFECTS,PROPAGATION,0.95,,Turbine temperature ratio tau_t affects Propeller efficiency eta_prop,,
131,173,AFFECTS,PROPAGATION,0.95,,Turbine temperature ratio tau_t affects Thermal efficiency and Propulsive efficiency,,
131,249,AFFECTS,PROPAGATION,0.95,,Turbine temperature ratio tau_t affects Isentropic efficiency eta_c,,
131,250,AFFECTS,PROPAGATION,0.95,,Turbine temperature ratio tau_t affects Isentropic efficiency and Total pressure ratio,,
131,251,AFFECTS,PROPAGATION,0.95,,Turbine temperature ratio tau_t affects Isentropic efficiency of an infinitesimal stage,,
131,253,AFFECTS,PROPAGATION,0.95,,Turbine temperature ratio tau_t affects Isentropic efficiency eta_t,,
131,254,AFFECTS,PROPAGATION,0.95,,Turbine temperature ratio tau_t affects Combustion efficiency eta_b,,
131,259,AFFECTS,PROPAGATION,0.95,,Turbine temperature ratio tau_t affects Mechanical efficiency eta_m,,
135,322,USED_IN,PROPAGATION,0.85,,Constant-pressure mixer used in Ideal Brayton cycle,,
137,322,USED_IN,PROPAGATION,0.85,,Optimum fan pressure ratio used in Ideal Brayton cycle,,
141,18,AFFECTS,PROPAGATION,0.95,,Turbine expansion split affects Thermal efficiency,,
141,19,AFFECTS,PROPAGATION,0.95,,Turbine expansion split affects Propulsive efficiency,,
141,20,AFFECTS,PROPAGATION,0.95,,Turbine expansion split affects Overall efficiency,,
141,95,AFFECTS,PROPAGATION,0.95,,Turbine expansion split affects Polytropic efficiency,,
141,115,AFFECTS,PROPAGATION,0.95,,Turbine expansion split affects Combustion efficiency,,
141,130,AFFECTS,PROPAGATION,0.95,,Turbine expansion split affects Real turbojet efficiency,,
141,136,AFFECTS,PROPAGATION,0.95,,Turbine expansion split affects Mixer efficiency,,
141,139,AFFECTS,PROPAGATION,0.95,,Turbine expansion split affects Propeller efficiency eta_prop,,
141,173,AFFECTS,PROPAGATION,0.95,,Turbine expansion split affects Thermal efficiency and Propulsive efficiency,,
141,249,AFFECTS,PROPAGATION,0.95,,Turbine expansion split affects Isentropic efficiency eta_c,,
141,250,AFFECTS,PROPAGATION,0.95,,Turbine expansion split affects Isentropic efficiency and Total pressure ratio,,
141,251,AFFECTS,PROPAGATION,0.95,,Turbine expansion split affects Isentropic efficiency of an infinitesimal stage,,
141,253,AFFECTS,PROPAGATION,0.95,,Turbine expansion split affects Isentropic efficiency eta_t,,
141,254,AFFECTS,PROPAGATION,0.95,,Turbine expansion split affects Combustion efficiency eta_b,,
141,259,AFFECTS,PROPAGATION,0.95,,Turbine expansion split affects Mechanical efficiency eta_m,,
148,37,AFFECTS,PROPAGATION,0.95,,Compressor operating line affects Stagnation pressure,,
148,52,AFFECTS,PROPAGATION,0.95,,Compressor operating line affects Pressure thrust,,
148,79,AFFECTS,PROPAGATION,0.95,,Compressor operating line affects Total pressure ratio pi,,
148,110,AFFECTS,PROPAGATION,0.95,,Compressor operating line affects Combustion chamber pressure,,
148,135,AFFECTS,PROPAGATION,0.95,,Compressor operating line affects Constant-pressure mixer,,
148,137,AFFECTS,PROPAGATION,0.95,,Compressor operating line affects Optimum fan pressure ratio,,
148,191,AFFECTS,PROPAGATION,0.95,,Compressor operating line affects Pressure at zero velocity isentropically,,
