源节点名称,源节点标签,关系类型,目标节点名称,目标节点标签,知识分类,页码,核心释义
Regenerative cooling,Parameter,ROUTES,Fuel through cooling jackets,Parameter,结构与传热,Page 418,Regenerative cooling pumps the fuel or oxidizer through passages surrounding the thrust chamber wall to absorb heat before injection.
Regenerative cooling,Parameter,RECOVERS,Wall heat loss,BoundaryCondition,结构与传热,Page 418,"The heat absorbed by the coolant is reintroduced into the combustion chamber, preventing a net thermodynamic energy loss."
Film cooling,Parameter,CREATES,Cooling fluid boundary layer,BoundaryCondition,结构与传热,Page 420,Injecting a small portion of fuel or inert gas along the internal wall creates a protective film that shields the structure from high-temperature core gases.
Liquid rocket cycle,Equation,CLASSIFIED_TO,Pressure-fed cycle,Equation,动力循环,Page 422,Liquid rocket engine cycles are classified into pressure-fed systems or pump-fed systems based on how propellants are pressurized.
Pump-fed cycle,Equation,CLASSIFIED_TO,Gas-generator cycle,Equation,动力循环,Page 424,A pump-fed open cycle where a fraction of the propellant is burned in a separate combustor to drive the turbine and is then exhausted overboard.
Pump-fed cycle,Equation,CLASSIFIED_TO,Staged combustion cycle,Equation,动力循环,Page 427,A high-pressure closed cycle where all pre-burner or gas-generator exhaust gases are directed into the main combustion chamber.
Pump-fed cycle,Equation,CLASSIFIED_TO,Expander cycle,Equation,动力循环,Page 431,A closed cycle where fuel is vaporized in the cooling jacket and then routes directly through the turbine to drive the pumps before entering the injector.
Gas-generator cycle,Equation,LIMITS,Turbine inlet temperature,Component,动力循环,Page 425,The gas generator must operate off-stoichiometric (extremely fuel-rich or oxidizer-rich) to prevent melting the turbine blades.
Staged combustion cycle,Equation,ENABLES,Higher chamber pressure,Parameter,动力循环,Page 428,"Because the turbine exhaust is injected into the main chamber rather than dumped at low pressure, it allows extremely high chamber pressures (P_c) and higher efficiency."
Turbopump power balance,Equation,REQUIRES,Turbine power equals Pump power,Component,系统匹配,Page 435,"In steady-state pump-fed cycles, the power produced by the turbine must equal the total mechanical power required to drive the oxidizer and fuel pumps."
Pump power requirement,Component,DEPENDS_ON,Volumetric flow rate and Pressure rise,Parameter,系统匹配,Page 436,"The required shaft power for a propellant pump is proportional to the mass flow rate and pressure rise, divided by the pump efficiency (eta_p)."
Real cycle analysis,Equation,ACCOUNTS_FOR,Component efficiencies and fluid losses,BoundaryCondition,真实循环分析,Page 445,"Real engine cycle analysis incorporates component efficiencies, pressure losses, mechanical losses, and bleeding to predict realistic performance."
Total pressure ratio pi,Parameter,AFFECTED_BY,Viscous and shock losses,BoundaryCondition,真实循环分析,Page 445,"In real engines, component total pressure ratios (like pi_d, pi_b, pi_n) are less than 1.0 due to friction and shock waves."
Real turbojet,Parameter,CALCULATES_THRUST_FROM,Real exit velocity and pressure,Parameter,涡喷循环,Page 448,The net thrust of a real turbojet must account for exit velocity variations caused by nozzle efficiency (eta_n) and incomplete expansion.
Real turbojet efficiency,Parameter,REDUCED_BY,Component irreversibilities,BoundaryCondition,涡喷循环,Page 452,"Irreversibilities in the compressor and turbine increase entropy, directly decreasing the specific thrust and increasing the TSFC."
Turbine temperature ratio tau_t,Component,CONSTRAINED_BY,Compressor power balance,Equation,性能匹配,Page 456,"In a real turbojet, the turbine temperature drop is determined by the actual power required to drive the compressor: tau_t = 1 - (tau_lambda / tau_r) * (tau_c - 1) / (eta_m * (1 + f))."
Fuel-air ratio f,Parameter,CALCULATED_FROM,Combustor energy balance,Equation,性能匹配,Page 458,The actual fuel-air ratio f accounts for combustor efficiency eta_b and variable specific heats across the burner.
Real afterburner,Component,REQUIRES,Additional fuel injection,Parameter,加力循环,Page 465,"The afterburner burns remaining oxygen in the turbine exhaust gas, but its efficiency (eta_AB) is lower than the main combustor."
Real afterburner,Component,CAUSES,High total pressure drop,BoundaryCondition,加力循环,Page 466,Adding heat at a finite Mach number inside the afterburner duct causes a fundamental thermal total pressure drop (Rayleigh effect).
Real turbofan,Parameter,HAS_TWO_STREAMS,Core stream and Bypass stream,Parameter,涡扇循环,Page 472,Real turbofan cycle analysis must track the independent losses and state changes in both the core and the fan bypass duct.
Real turbofan,Parameter,CLASSIFIED_TO,Unmixed turbofan,Parameter,涡扇循环,Page 473,An engine configuration where the core and bypass streams exhaust through separate independent nozzles.
Real turbofan,Parameter,CLASSIFIED_TO,Mixed-flow turbofan,Parameter,涡扇循环,Page 485,An engine configuration where the core and bypass streams mix in a common mixer component before expanding through a single nozzle.
Constant-pressure mixer,Parameter,REQUIRES,Equal static pressures at inlet,Component,部件匹配,Page 486,"For proper aerodynamic mixing, the core and bypass streams must enter the mixer at substantially equal static pressures (P_5 = P_15)."
Mixer efficiency,Parameter,QUANTIFIED_BY,Total pressure gain or loss,BoundaryCondition,部件匹配,Page 488,"Aerodynamic mixing of streams with different total temperatures and velocities introduces viscous shearing losses, reducing overall total pressure."
Optimum bypass ratio,Parameter,SHIFTS_WITH,Component efficiencies,Parameter,性能优化,Page 492,Lower component efficiencies (like lower fan or turbine efficiency) shift the optimum bypass ratio (alpha) toward lower values compared to ideal cycles.
Optimum fan pressure ratio,Parameter,MAXIMIZES,Specific thrust of turbofan,Parameter,性能优化,Page 495,There is a distinct optimum fan pressure ratio (pi_f) that maximizes specific thrust or minimizes TSFC for a given bypass ratio and core technology.
Real turboprop,Parameter,DELIVERS,Shaft power and Residual thrust,Parameter,涡桨循环,Page 502,A real turboprop splits the available turbine energy into shaft power to drive the propeller and a small amount of jet thrust from the exhaust.
Propeller efficiency eta_prop,Parameter,MEASURES,Shaft power conversion to thrust,Parameter,性能指标,Page 503,The efficiency with which the propeller converts the brake shaft horsepower into effective aircraft propulsive power.
Equivalent specific fuel consumption,Parameter,DEFINED_AS,Fuel flow divided by Equivalent thrust,Parameter,性能指标,Page 505,"For turboprops, ESFC (or S_e) combines the propeller shaft power and residual jet thrust into a single performance parameter."
Turbine expansion split,Component,OPTIMIZED_BY,Optimum nozzle pressure ratio,Component,性能优化,Page 508,There is an optimum balance between how much expansion occurs in the turbine (for shaft power) versus the exhaust nozzle (for jet thrust) to maximize total equivalent thrust.
Bleed air extraction,Parameter,INCREASES,Thrust specific fuel consumption,Parameter,损失效应,Page 515,"Extracting compressed air from the core compressor exit for aircraft usage causes an immediate penalty, reducing thrust and increasing TSFC."
Power take-off,Parameter,INCREASES,Required turbine temperature drop,BoundaryCondition,损失效应,Page 516,"Extracting mechanical power from the shaft forces the turbine to work harder, which reduces the total enthalpy available for the exhaust jet."
Off-design analysis,Equation,OBJECTIVE,Predict performance of a fixed engine,Component,性能预测,Page 545,Engine performance analysis (or off-design analysis) predicts the performance of a specific engine across various flight conditions and throttle settings.
Fixed geometry,Parameter,CONSTRAINS,Component flow areas,Parameter,运行约束,Page 545,"For a built engine, the physical throat areas of turbines and nozzles are geometrically fixed, which locks the aerodynamic coupling."
Corrected mass flow,Parameter,DEFINED_AS,Mass flow scaled by dimensionless temperature and pressure,Parameter,相似准则,Page 551,"Corrected mass flow rate m_dot_c is defined as m_dot * sqrt(theta) / delta, allowing data from different conditions to be collapsed onto a single curve."
Corrected speed,Parameter,DEFINED_AS,Physical rotational speed divided by square root of theta,Parameter,相似准则,Page 551,N_c = N / sqrt(theta). It relates the blade tip Mach number to the aerodynamic performance of turbomachinery.
Component matching,Parameter,REQUIRES,Continuity of mass and power balance,Equation,整机匹配,Page 558,"Steady-state off-design operation requires that the mass flow entering a component matches downstream constraints, and the turbine power balances the compressor power."
Choked turbine stator,BoundaryCondition,FIXES,Upstream compressor operating point,Component,整机匹配,Page 563,"If the high-pressure turbine nozzle guides are choked, the corrected mass flow exiting the compressor remains essentially constant, creating a fixed pumping constraint."
Compressor operating line,Component,DETERMINED_BY,Turbine flow capacity,Component,整机匹配,Page 565,The steady-state compressor operating line on a compressor map is determined by the fixed throat area of the downstream turbine and exhaust nozzle.
Choked exhaust nozzle,BoundaryCondition,DETERMINES,Turbine pressure ratio,Component,整机匹配,Page 572,"When the convergent exhaust nozzle is choked, the operating pressure ratio across the turbine becomes independent of ambient pressure."
Control system,Component,REGULATES,Fuel flow rate and variable geometry,Parameter,发动机控制,Page 598,The fuel control unit (FCU) adjusts the fuel flow to match pilot thrust demands while keeping the engine within safety limits.
Engine limit,BoundaryCondition,INCLUDES,Maximum fan speed,Parameter,发动机控制,Page 599,Mechanical stress restricts the maximum physical or corrected rotational speed of the fan spool.
Engine limit,BoundaryCondition,INCLUDES,Maximum compressor discharge pressure,Component,发动机控制,Page 599,Structural casing design restricts the maximum compressor exit pressure (P_t3) to prevent burst failure.
Engine limit,BoundaryCondition,INCLUDES,Maximum turbine inlet temperature,BoundaryCondition,发动机控制,Page 599,Material thermal properties restrict the maximum allowable gas temperature entering the turbine blades (T_t4).
Theta_break,Parameter,DEFINES,Control logic transition point,Parameter,发动机控制,Page 612,Theta_break represents the ambient temperature point where the engine control transitions from limiting maximum compressor pressure ratio to limiting maximum turbine inlet temperature.
Cold day operation,BoundaryCondition,LIMITED_BY,Maximum pressure or shaft speed,Parameter,发动机控制,Page 612,"At low ambient temperatures (below theta_break), the engine is typically limited by mechanical limits like pressure or spool speed."
Hot day operation,BoundaryCondition,LIMITED_BY,Maximum turbine inlet temperature,BoundaryCondition,发动机控制,Page 612,"At high ambient temperatures (above theta_break), the engine control reduces fuel flow to protect the turbine from overheating, dropping the thrust."
Throttle hook,Parameter,PLOTS,Thrust versus TSFC,Parameter,运行特性,Page 620,A throttle hook is a curve showing the relationship between thrust and thrust specific fuel consumption at a constant flight condition as the throttle is varied.
Transient operation,BoundaryCondition,REQUIRES,Temporary power imbalance,Equation,过渡态,Page 635,"During acceleration, the turbine power must exceed the compressor power to accelerate the spool rotor inertia, causing the operating line to transiently swing toward the stall line."
